name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
Universitas Sumatera Utara,QzY2QTlEOTQtNDBDOC00QjcyLUFGQjktNDM4NDczNjRCMUJF,Jalan Dr T Mansur No 9 Padang Bulan,Kota Medan,"061-8214033, 8214210", humas@usu.ac.id,www.usu.ac.id,2417,44653,1965,39497,2251,50750,2487,48617,2613,51842,2798,47116,3999,47258,3556,28283
Universitas Negeri Medan,RkE4M0E5RkYtNzRCMi00OTM4LTg1NEEtMEY0OTE1RDVBNDFE,Jalan Willem Iskandar Pasar V Medan Estate,Kota Medan,"061-6613365,6613276",admin@unimed.ac.id,http://www.unimed.ac.id,2069,26450,2253,23156,2985,26526,2754,26827,2912,30055,2560,27568,3042,35174,2516,1
Politeknik Negeri Medan,QURFMDExNzktODhEQS00NDgwLUI2RDMtNkU0REVBRjgyQUQ2,Jalan Almamater No 1 Kampus USU,Kec. Medan Baru,061-8211235,polmed@polmed.ac.id,www.polmed.ac.id,542,6356,512,6232,538,6193,519,6077,576,5900,542,5734,618,6597,616,6320
Institut Seni Indonesia Padang Panjang,OEM4QkQ4M0UtM0RFMi00MEU5LUEzM0MtOEYzNjk4MTM2RjU5, Jln. Bundo Kanduang No 35 Padangpanjang Sumatera Barat,Kota Padang Panjang,0752-82077,isi@isi-padangpanjang.ac.id,www.isi-padangpanjang.ac.id,315,3868,288,2497,327,3113,288,2732,376,3217,387,2928,447,3470,431,3351
Politeknik Negeri Padang,Q0E1RTM0NUYtQTYxNy00NENFLTlEMkItMzdBNDMzMDQ3RUQz,Kampus Politeknik Negeri Padang Limau Manis,Kota Padang,0751-72590,info@pnp.ac.id,www.pnp.ac.id,605,4733,585,4580,634,4882,614,4772,731,5550,717,5365,845,6298,854,2245
Politeknik Pertanian Negeri Payakumbuh,Q0I4RDVBMUUtRUM0RS00M0IyLTgwN0ItOTREQTMwMDg3Mjcz,Jl Raya Tanjung Pati Km 7 Kabupaten Limapuluh Kota,Kab. Lima Puluh Koto,0752-7754192,sekretariat@politanipyk.ac.id,www.politanipyk.ac.id,248,1823,208,1787,279,1923,239,1897,326,2105,309,1846,327,1955,313,1839
Universitas Andalas,MTgwNENDNjYtQ0IxOS00RTkzLThCM0YtMUFGNzFBRDQ2OUZG,Kampus Universitas Andalas Limau Manis,Kec. Pauh,0751-71181,rektor@unand.ac.id,www.unand.ac.id,2762,30594,2552,28414,2598,32404,2586,30069,2801,33952,1723,31164,3676,35350,3262,11640
Universitas Negeri Padang,MTc4NEI5MjctMzQ3QS00MjVELThEQ0YtN0NFOEZENEUwMDAy,Jalan Prof Dr Hamka Kampus Air Tawar Padang Sumatera Barat,Kota Padang,07517051260,info@unp.ac.id,www.unp.ac.id,2789,50764,2524,41021,2857,45565,2844,41120,3475,45900,3605,44927,3900,55275,3736,372
Universitas Islam Negeri Mahmud Yunus Batusangkar,QkFCMUZGRjEtNUYzRS00MUFCLThEQ0ItRDU2NUZDNDg5RTlD,Jl. Sudirman No.137 Lima Kaum Batusangkar,Kab. Tanah Datar,+6275271150,info@uinmybatusangkar.ac.id,uinmybatusangkar.ac.id,0,4147,0,4147,0,6244,0,6244,0,8491,0,8492,549,10487,517,8789
Politeknik Negeri Bengkalis,M0EwOEU5QTMtQTFFOS00MzYwLUI0QUYtMDA1M0E5NkRBNUE3," Jalan Bathin Alam, Desa Sungai Alam, Kecamatan Bengkalis",Kec. Bengkalis,+627667008877,polbeng@polbeng.ac.id,polbeng.ac.id,227,2294,196,2207,225,2629,206,2575,244,3056,257,2819,281,3635,272,3435
Universitas Riau,NTUxOEY0OUQtQzk4RS00OUIwLUEzOTQtRTc1NzUzQjAzQzkz,Kampus Bina Widya Simpang Baru,Kota Pekanbaru,0761-63266,rektor@unri.ac.id,www.unri.ac.id,2564,35816,2275,31684,2758,35152,2464,31861,3059,35578,2472,31618,3066,35707,2664,18353
Politeknik Negeri Batam,OENBNTJGRjYtQTI5Qi00RTM1LUI5N0QtNTY5RDU1RDExNEU2,"Kampus Politeknik Negeri Batam  Parkway Street, Batam Center",Kec. Batam Kota,0778 - 469858,info@polibatam.ac.id,www.polibatam.ac.id,314,5309,283,5181,256,6552,276,6332,328,8475,329,7225,392,9089,417,3377
Institut Agama Islam Negeri Kerinci,MDVGMjAyNjUtRTZCRi00NzY2LThFMTQtMzMyNkQ2MzQ1NkY4,"Jalan Kapten Muradi, Desa Sungai Liuk, Kecamatan Pesisir Bukit Kota Sungai Penuh",Kab. Kerinci,074821065,info@iainkerinci.ac.id,www.iainkerinci.ac.id,489,4773,480,4730,490,5232,448,4996,597,4929,583,4160,635,4075,576,520
Universitas Jambi,NDg3MTU0NjktQzE2NS00ODJELUI3QkYtODdCOEEyNjhFNUEz,Jl. Raya Jambi Muara Bulian Km 15,Kec. Jambi Luar Kota,0741583377,humas@unja.ac.id,www.unja.ac.id,2403,35296,2136,29892,2533,31985,2190,29693,2774,36330,2213,28774,2695,34236,2481,31236
Institut Agama Islam Negeri Curup,QTBFQjU1RUMtM0Q0Mi00NDNBLTlGQUEtQzYyQzk2Qjc5RDVF,Jl. Doktor AK Gani No. 1 Curup Utara,Kec. Curup,073221759,admin@iaincurup.ac.id,iaincurup.ac.id,314,3368,263,3259,220,4284,233,4096,290,4360,195,3933,179,3013,16,2465
Universitas Bengkulu,Nzc2MEYyNDMtOUI3Ri00Njk5LThGRjMtRjlBNkFCQTE3NEI3,Jalan WR Supratman Kandang Limun ,Kec. Muara Bangkahulu,0736-345805,rektorat@unib.ac.id,www.unib.ac.id,1712,23927,1502,22043,1670,25388,1507,22868,1764,25204,1606,23106,1733,25959,1631,23236
Politeknik Negeri Sriwijaya,NTJGRTY1RjItNjI3RC00MjVCLTk5QzMtM0EwREM3NDBDMTM0,Jl Srijaya Negara Bukit Besar ,Kota Palembang,0711-353414,info@polsri.ac.id,www.polsri.ac.id,677,7344,655,7376,691,8305,673,8022,713,8990,695,8871,781,9844,770,0
Universitas Sriwijaya,NEE4MDMzNzMtQzUyMS00RjQ0LTg4RDAtQkUyOEFEQTlFNjdB,Jl Raya Palembang Prabumulih Km. 32  Inderalaya Ogan Komering Ilir,Kab. Ogan Ilir,0711-580169,bapsi@unsri.ac.id,www.unsri.ac.id,3160,36743,3014,32171,3194,39019,3244,37426,3396,40811,3271,36984,3464,41260,3113,27373
Institut Agama Islam Negeri Metro,QkI0MDI4NTAtMjEzNS00REM4LTk2Q0QtOUNCQjY5QjU0QTNF,Jalan Ki hajar Dewantara Iringmulyo Metro Timur Kota Metro,Kota Metro,0725-47296,iainmetro@metrouniv.ac.id,www.metrouniv.ac.id,392,7427,357,6926,467,7434,415,7011,491,7525,490,6524,530,6981,197,2290
Institut Teknologi Sumatera,RTE3ODgyODAtMDEzNC00Qjg4LTk5MkItRDcxODRCRTY2N0I5,"Jl. Terusan Ryacudu, Desa Way Hui",Kec. Jati Agung,(0721) 8030188,pusat@itera.ac.id,www.itera.ac.id,504,8869,461,8575,359,12927,295,11996,588,16194,596,15185,856,18471,743,17986
Politeknik Negeri Lampung,MjQyMjlFNDAtMjA3Qi00ODBGLTlGOEYtQzEzQUM3MENCRUVF,Jalan Soekarno Hatta No 10 Rajabasa Bandar Lampung,Kota Bandar Lampung,0721-703995,setdir@polinela.ac.id,www.polinela.ac.id,489,3412,406,3248,457,4135,389,3923,444,4698,371,4133,635,4836,547,1309
Universitas Lampung,RTJCNzA1QTctMTczRS00NjRBLTlGQUMtNTA5MTI4NzA5NTE1,Jl Sumantri Brojonegoro No 1 Gedong Meneng,Kec. Rajabasa,0721701609,humas@kpa.unila.ac.id,www.unila.ac.id,2674,28200,2702,25225,3005,28844,2828,27133,3182,32656,2893,28652,3321,36488,3079,32025
Politeknik Manufaktur Negeri Bangka Belitung,RDVDNTBDNzAtQkRGRS00RjMyLTg4Q0ItMDVDN0I0M0FFNDNG," Jln. Timah Raya, Air Kantung Sungailiat Bangka",Kec. Sungai Liat,0717 93586,polman@polman-babel.ac.id,www.polman-babel.ac.id,134,831,130,822,139,992,131,959,111,1076,108,1047,108,1115,118,1115
Universitas Sultan Ageng Tirtayasa,MkEwREM5RUItMzkyNS00RDY4LTk1NDMtMUYyQjhFREJENUVG,"Jl Raya Palka KM. 03 Sindangsari, Kec. Pabuaran, Kab. Serang, Provinsi Banten",Kab. Serang,0254-3204321,humas@untirta.ac.id,http://www.untirta.ac.id,706,24976,687,21775,1075,21708,988,20732,1150,22098,1118,20837,1289,25487,1159,21908
Universitas Terbuka,MEY0NjBGOTctNkQ0Ny00RDk2LThBMkEtNDM2MUVBMDRGM0U4,"Jalan Cabe Raya, Pondok Cabe, Pamulang, Tangerang Selatan",Kota tangerang Selatan,021-7490941,hallo-ut@ut.ac.id,www.ut.ac.id,8,1089821,5,1092972,9,1122409,213,1132716,273,1170231,790,1186337,873,939329,874,108096
Sekolah Tinggi Meteorologi Klimatologi dan Geofisika,RUEwRTI2REEtNjZFQy00QUFBLTlGQzEtRUVCNDFDMjYzNUZG,,Kec. Pondok Aren,(021) 73691621,admin@stmkg.ac.id,https://stmkg.ac.id,73,1196,65,1004,66,748,62,748,71,765,65,827,89,855,63,809
Politeknik Enjiniring Pertanian Indonesia,NkMxQTUzQjYtODQ3Mi00NkFBLTk0RTYtMjY5MjIzNEY4M0U5,"Jl. Sinarmas Boulevard Situ Gadung, Kec. Pagedangan, Tangerang, Banten 15338",Kec. Pagedangan,  (021) 50972050,pepi.serpong@pertanian.go.id,pepi.ac.id,5,72,4,71,46,142,55,141,58,212,54,209,37,265,50,261
Politeknik Keuangan Negara STAN,QUNGRTJGRUUtOTBCNy00MzEyLUE5NDMtN0Y5OTFBNTYyRTM3, ,Kota tangerang Selatan,(021)7361654-58, humas.baak@pknstan.ac.id, www.pknstan.ac.id,238,9866,314,9904,277,7423,262,7064,234,2952,0,2950,289,1833,0,0
Politeknik Pelayaran Banten,NzA4MDFBQzAtRDY5Qy00NTRGLThFMTgtQzNEMEY2RDZCNzM0,,Kab. Tangerang,(021) 59370327,tuk@poltekpel-banten.ac.id,www.poltekpel-banten.ac.id,0,194,19,189,60,406,67,405,54,609,41,608,53,816,45,815
Politeknik Penerbangan Indonesia Curug,Njg2Q0RCMzUtMDc1NC00MjM2LThFMzEtQkZEN0E2OEFBNzY2,,Kec. Curug,0215982204 ,ppi@ppicurug.ac.id,https://ppicurug.ac.id/,0,1543,0,1520,56,1476,68,1451,85,1063,94,1030,110,832,75,119
Politeknik Statistika STIS,MzlBMUExQzktNjIzNS00RkY2LUI2Q0UtMjYzQTAzQUExRkFB,,Kota Jakarta Timur,"021-8191437, 8508812",info@stis.ac.id,www.stis.ac.id,107,2201,99,2201,99,2282,87,2275,92,2275,115,2124,121,2115,101,2115
Politeknik Negeri Media Kreatif,MTIzRjdGQkYtOTg3OC00QjJFLTk3QzItNDY0MzY5RTBBMTA5,"Jalan Srengseng Sawah, Jagakarsa",Kota Jakarta Selatan,(021) 7864753-55,bakpk@polimedia.ac.id,polimedia.ac.id,153,3613,182,2668,232,4543,197,4109,267,4898,252,4764,294,4934,184,3344
Politeknik APP Jakarta,OUY4ODNERTgtOUIxMy00ODgyLTlDNEQtQ0Y3NTZDRjg3OEVG,,Kota Jakarta Pusat,(021) 7867382,info@poltekapp.ac.id,www.poltekapp.ac.id,56,1520,55,1454,57,1300,57,1248,60,1318,63,1319,72,1462,68,1379
Politeknik STMI Jakarta,N0E1ODU0MzMtNUUwMC00QjY4LUJCNTEtNzhGMjc1NjFGNkFB," Jl. Letjen Suprapto No. 26, Kel. Cempaka Putih Timur, ",Kec. Cempaka Putih,(021) 42886064, humas@stmi.ac.id,www.stmi.ac.id,68,1538,67,1445,83,1390,79,1339,92,1354,81,1330,93,1340,92,0
Universitas Indonesia,MEQxRTYzRTktQ0JGQi00NTQ2LUEyNDItODc1QzMxMDA4M0E1,Jalan Salemba Raya 4 ,Kota Jakarta Pusat,021-7270020,humas-ui@ui.ac.id,www.ui.ac.id,5748,48566,5699,45563,5990,51762,5768,48212,6542,52990,6583,49778,7229,54440,7281,51383
Universitas Negeri Jakarta,NTJERDQ0MTEtREREMC00RkU2LUI1RUMtRjZGMzY3REJDRjk3,Jalan Rawamangun Muka ,Kec. Pulo Gadung,021-4893854,unj@unj.ac.id,www.unj.ac.id,1991,36790,1899,30554,2267,35427,2452,32312,3014,36382,2504,31456,3902,37778,2694,31118
Universitas Islam Internasional Indonesia,QUE3NEVENjktQjIwNC00QzUxLUEzNDAtMjM0MjY4MzJDQTUx,,Kec. Sukmajaya,021-77815300,academic@uiii.ac.id,www.uiii.ac.id,0,0,0,0,0,0,0,0,12,87,9,86,36,218,39,81
Universitas Islam Negeri Sunan Gunung Djati,MUE3NzMyREItRTBCNS00N0M5LUFBOEEtQ0RDOUEzOTJCRjQ5,Jalan AH Nasution No 105 ,Kec. Cibiru,+6222 7800525,info@uinsgd.ac.id,www.uinsgd.ac.id,1285,32161,1259,29281,1512,34773,1335,33189,1605,38299,1396,35751,1782,42153,932,11370
Universitas Padjadjaran,QjVGREYzNDctOTMxRC00NkM4LUJCOTUtMjBCN0IxQzhCNUJB,Jalan Raya Bandung Sumedang KM 21 Jatinangor,Kab. Sumedang,022-84288888,humas@unpad.ac.id,www.unpad.ac.id,3673,36061,3769,34489,3419,38258,3326,35178,4330,39611,4241,35130,5752,40075,5151,35764
Universitas Pendidikan Indonesia,QkNGNjNCMDctRTcwMi00OTA3LTk2MjEtMjFERDdBRUY3NEI0,Jalan Dr Setiabudhi No 229 ,Kota Bandung,022-2013163,sekuniv_upi@upi.edu,www.upi.edu,2868,35417,2224,33302,3928,41694,3666,41205,3515,46607,3309,40031,3449,50196,3100,40778
Institut Teknologi Bandung,QTFFOEMzNTYtNDhFRi00ODcxLUFGM0UtODUwNzk0NDNGOTUy,"Kantor: Jl. Tamansari 64 Bandung 40116,  Kampus: Jl. Ganesha 10 Bandung 4013",Kota Bandung,+62-22-2500935,pddikti@office.itb.ac.id,https://www.itb.ac.id/,2800,26516,2785,24523,2972,28058,2926,26609,3081,29336,2927,27464,2954,25919,2912,23164
Institut Pertanian Bogor,ODI4RkI5NjYtMzczMy00MzBFLTg2RkYtOTA5Qjc2NEUyNTIz,"Jl. Raya Darmaga Kampus IPB Darmaga Bogor 16680 Jawa Barat, Indonesia ",Kab. Bogor,0251-8622642,ict@apps.ipb.ac.id,www.ipb.ac.id,2537,29800,2524,28412,2406,33675,2810,32552,3048,36836,2944,35509,3548,34573,1704,31158
Institut Seni Budaya Indonesia Bandung,MDhBNUI3NDMtOTM5RC00MTRGLUE3OUEtMDJFRERDQjUyRDhG,Jalan Buahbatu No. 212 Bandung,Kota Bandung,022-7314982,isbi@isbi.ac.id,www.isbi.ac.id,90,2302,123,1800,170,2196,235,2361,265,2723,242,4260,271,4281,250,3650
Politeknik Kelautan dan Perikanan Pangandaran,MThGOTU5QjAtNDYzRS00RkY1LTk5NDEtNzhEOUU4ODc4NTFC,,Kec. Pangandaran,(0265) 7503353,mail@pkpp.ac.id,pkpp.ac.id,29,223,22,223,25,238,27,238,35,262,23,262,29,283,24,273
Politeknik Siber dan Sandi Negara,OTAyMzJEQzMtREYxRC00MDQ5LThFNEUtRjJEMEUyQjVGQUZB,,Kab. Bogor,,,,0,362,0,362,0,384,0,384,0,388,0,384,42,390,48,0
Politeknik Manufaktur Bandung,Q0U3MzU1NUItQjAxNS00MTI3LUE4NDktNzZDMThCRTk0NkM5,Jalan Kanayakan 21 Dago ,Kota Bandung,0222500241,sekretariat@polman-bandung.ac.id,www.polman-bandung.ac.id,214,1528,246,1514,219,1544,210,1541,219,1734,283,1494,323,1616,341,0
Politeknik Negeri Jakarta,NzAzMEMyMTYtRDg3OC00QTdDLUJDN0QtNUY1ODQ3M0E1MEFB,Kampus Baru Universitas Indonesia,Kota Depok,021-7270036,humas@pnj.ac.id,www.pnj.ac.id,846,7675,769,7550,788,7612,727,7474,821,8224,769,7868,868,8941,812,8819
Politeknik Negeri Bandung,RkJBRUU3MTEtNzkwRC00MzY1LUFCNjUtMThEODFGN0Y2N0Iw,Jln.Gegerkalong Hilir Desa Ciwaruga,Kota Bandung,2013789,polban@polban.ac.id,www.polban.ac.id,967,6132,971,6095,1078,6254,1028,6197,1070,6486,969,6381,974,7001,938,6772
Politeknik Negeri Indramayu,MEQ1NDUyMkItNDVDMS00MTcyLTg0RjEtNTVDMUNFODkxMzg3,Jl. Raya Lohbener Lama No.8,Kec. Lohbener,0234-5746464,info@polindra.ac.id,www.polindra.ac.id,68,1189,70,999,74,1258,79,1177,86,1374,107,1341,112,1530,118,774
Politeknik Negeri Subang,ODg3NDFBMzQtRTczQi00QURCLTg0MjMtN0Y2Nzk1Q0ExQTEw,,Kab. Subang,0260-417648, info@polsub.ac.id,www.polsub.ac.id,35,433,33,433,39,452,36,444,38,680,39,670,49,805,48,705
Sekolah Tinggi Intelijen Negara	,OUYyNkFGNDItOTAyRS00MTE1LTk5MEItNDJCMTNGRkIyQTA0,,Kec. Babakan Madang,02518271478,info@stin.ac.id,www.stin.ac.id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universitas Diponegoro,NTREMDFCRjMtODI1NS00NzRCLUI5NkQtNDQyNjEzNUVFRDAx,"Jl Prof H Soedarto, SH Kampus Tembalang",Kec. Tembalang,024 - 7460036,,www.undip.ac.id,2897,56540,3454,46741,3987,52949,3588,52726,3982,62195,3579,55972,4075,68492,3770,52454
Universitas Jenderal Soedirman,MzZBQjRBN0EtMEY3OS00RjZDLTkwNkMtQzMwQTU2MEZCNDQ4,Jl Prof Dr HR Boenyamin 708 ,Kec. Purwokerto Utara,0281-635292,bakunsoed@gmail.com,www.unsoed.ac.id,1818,22414,2133,22735,2345,23959,1891,20642,2544,24119,2296,21750,2679,24697,2365,19107
Universitas Negeri Semarang,QTU4NTg4QTgtMEY1Mi00RDRELThBQTgtRjgzMjc4QTU2NTU5,Gedung H (Rektorat) Kampus Unnes Sekaran Gunungpati ,Kec. Gunung Pati,024-86008700,humas@mail.unnes.ac.id,http://unnes.ac.id,4698,37135,5664,33791,6561,41257,5718,38227,5232,48447,6767,42278,7339,57040,7661,49824
Universitas Sebelas Maret,NUJGM0FDMUQtMzZGNC00MzM4LUFDMEUtMTA2RDY5N0MzMzAx,Jalan Ir Sutami 36-A Kentingan,Kec. Jebres,0271 646994, admin-uns@uns.ac.id,https://uns.ac.id,3404,39862,2894,36808,3269,44701,3214,40529,3540,42325,3667,38439,4077,50155,3782,40476
Universitas Tidar,NEVCN0Q5QzAtNzI3MC00MkE1LTk2RjMtRjA2N0QwNDRGMDgz,Jalan Kapten Suparman 39 Magelang,Kec. Magelang Utara,0293 - 364113,humas@untidar.ac.id,untidar.ac.id,302,7320,352,6736,345,8814,326,8447,356,11037,316,10355,523,12447,438,11751
Universitas Islam Negeri Salatiga,OTU2NTFEMDAtREUxMS00NDlFLTlCNzgtRTdCMUIxOTJBNDJF,"Jln. Lingkar Salatiga, Km. 02, Kec. Sidorejo",Kota Salatiga,(0298) 323706,administrasi@iainsalatiga.ac.id,uinsalatiga.ac.id,0,8461,0,8461,0,11415,0,11436,0,14448,0,14691,595,14095,500,11958
Institut Agama Islam Negeri Kudus,NkQ4QTc4QTMtQUZENC00OEUwLTgxN0EtRUJBNEEyRjM1QTFB,Jalan Conge Ngembalrejo Kotak Pos 51,Kab. Kudus,,humaskampus@iainkudus.ac.id,https://iainkudus.ac.id/,38,13868,64,12430,111,14551,649,12832,751,13952,625,12698,728,14975,653,12500
Institut Seni Indonesia Surakarta,NDE4NDE4QjctNUIzOC00MjU0LUEyQ0UtRjlBRjY1RTNDQzJE,"Jl Ki Hajar Dewantara No 19 Kentingan, Jebres",Kota Surakarta,0271-647658,direct@isi-ska.ac.id,www.isi-ska.ac.id,126,8025,120,7404,128,7602,117,7110,127,6511,299,5155,310,5637,318,8
Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,OThEMzA0QjUtQkE4MC00Mjc2LUJEMTgtM0IxNkNCQjdGOUQ1,"Jl. Kantil Bulusulur, Wonogiri Jawa Tengah",Kab. Wonogiri,(0273) 323439,stabn.radenwijaya@gmail.com,www.radenwijaya.ac.id,81,198,75,194,90,264,101,272,112,320,111,322,129,388,103,371
Politeknik Energi dan Mineral Akamigas,ODAyNDA1NzYtN0I2MS00MDM4LUE3QzctMEVGODMwNkE5REYy,Jl. Gajah Mada No. 38 Cepu - 58315 Kab. Blora Jawa Tengah ,Kec. Cepu,0296-421897,info@akamigas.ac.id,www.akamigas.ac.id,71,1032,61,1029,80,972,77,968,80,1028,75,1003,80,1023,60,984
Politeknik Industri Furnitur dan Pengolahan Kayu,REYwNjY2NUUtMzU5Qy00OUVDLTg4ODktMDg1ODkxOUY4RjEy,,Kab. Kendal,0294 3692732,humas@poltek-furnitur.ac.id,poltek-furnitur.ac.id,26,276,31,274,22,423,35,423,22,459,32,455,42,397,37,394
Politeknik Keselamatan Transportasi Jalan,OTRBNDI2QUUtREJEOC00RjY5LUFGQ0ItQUE2MzhCNTQ4RjQ5, JALAN SEMERU NO. 3 TEGAL,Kota Tegal,"0283-358081, 351061",pktj@pktj.ac.id,www.pktj.ac.id,0,969,0,969,1,1360,63,885,65,925,52,925,64,928,0,924
Politeknik Maritim Negeri Indonesia,OUY0RTI4NDUtNEI0Ni00NDkyLTk1RTktNjRFNDM0RUM3NDhF,Jl. Pawiyatan Luhur I/1 Bendan Duwur Semarang,Kota Semarang,02486457895,info@polimarin.ac.id,www.polimarin.ac.id,72,333,60,373,69,476,66,507,69,498,84,514,82,524,80,503
Politeknik Negeri Cilacap,MTk1RkM0ODAtOUM4OS00MzdCLUI0MTEtQzNCNDRGOEMyMjAw,Jl. Dr Soetomo Sidakaya Cilacap ,Kec. Cilacap Selatan,0282 537992,sekretariat@pnc.ac.id,www.pnc.ac.id,80,1047,88,1020,99,1220,93,1114,87,1240,96,1204,95,1384,110,1323
Politeknik Negeri Semarang,OTJCNDk5QTctRDQ3OS00NTBCLThFNDMtQUM0OUU5QzFDNTA1,"Jalan Prof H Soedarto SH Tembalang, Semarang",Kec. Tembalang,024-7473417,sekretariat@polines.ac.id,www.polines.ac.id,678,5268,672,5267,707,5724,666,5677,657,6120,621,6030,721,6375,668,6215
Politeknik Pekerjaan Umum,MjMyNTQ4MDgtMUE5RS00RUMzLUJCMDktMEJCMDJCNTg3NDlC,,Kota Semarang,(024)7472848,akademik@politeknikpu.ac.id,www.politeknikpu.ac.id,11,137,19,136,25,286,35,277,40,432,46,416,50,509,50,498
Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta,NzE0RTg3QjgtODgxNS00RDY4LTgxNEMtQjk1NEY0MkM4Mzk5,,Kota Surakarta,0271-6792696,cs@ak-tekstilsolo.ac.id,www.ak-tekstilsolo.ac.id,26,595,27,584,25,419,27,409,27,347,32,325,26,355,29,347
Universitas Gadjah Mada,OEVEMUQwQ0UtRjEyMi00QjM3LUE4NDktMjVGODFCMzM1Mzk1,Bulaksumur ,Kec. Depok,0274-6492599,setr@ugm.ac.id,www.ugm.ac.id,8892,60566,7236,53592,7414,54076,6866,52592,7212,57979,7549,53146,8701,61405,8274,45079
Universitas Negeri Yogyakarta,QTA0QUFGRjgtNUY4MS00NzU2LUI5MTQtNzNEQ0ZFRDMzOTMy,Kampus Karangmalang Yogyakarta ,Kab. Sleman,0274-586168,akademik@uny.ac.id,www.uny.ac.id,1904,32427,2367,29493,2639,38868,2416,35960,2589,43333,2999,38190,2959,61222,2927,49328
