name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
Universitas Pancasila,ODA5QzhBODEtNEIzMy00REQyLUFGQzEtODU4MjBCQzhGNzhE,Jalan Srengseng Sawah Jagakarsa,Kota Jakarta Selatan,021-7270086,info@univpancasila.ac.id,www.univpancasila.ac.id,655,13623,690,12094,657,12925,680,11869,728,12816,691,11426,743,11957,713,4495
Universitas Nasional,ODA1ODYyODctODIwRi00MTRGLUE5RTItODdEMEQ4MjEwNkE3,Jl Sawo Manila Pejaten Pasar Minggu,Kota Jakarta Selatan,021-7806700,info@unas.ac.id,www.unas.ac.id,1172,15091,607,13222,557,14991,615,12821,596,13940,641,12358,739,14136,733,12305
Universitas Tarumanagara,Q0U4NUIzQTYtNTIwNS00QjlCLTg1N0YtQThBNkQ3NzcwRDlE,"Jalan S Parman No 1, Grogol ",Kota Jakarta Barat,021-5671747,humas@untar.ac.id,www.untar.ac.id,819,14820,726,13655,798,14101,767,12378,794,13843,759,11917,805,14051,746,71
Universitas Trisakti,MTEzQjREMDYtMzRDQS00QTZFLUEyOUEtOUFGMzcyOTMzQzhG,Jalan Kyai Tapa No 1 Grogol ,Kota Jakarta Barat,021-5663232,universitas@trisakti.ac.id,www.trisakti.ac.id,1435,21615,1447,19602,1608,20924,1519,19397,1568,19916,1594,17951,1597,18517,1597,17312
Universitas Bakrie,RDRFQkZBODgtOUUyQi00RURBLThBQUQtRjcyNEY3MzU5ODU4,Kawasan Epicentrum Jalan H.R. Rasuna Said Kav C-22 Kuningan - Jakarta Selatan,Kota Jakarta Selatan,021-526-1448,info@bakrie.ac.id,www.bakrie.ac.id,132,3647,123,3646,140,3985,128,3964,137,4456,125,4375,136,4770,135,3173
Universitas Pembangunan Jaya,MzkyNTEzQTUtRjZCRi00OEM1LUEwRkUtNjI5NDcxMTA1MzZG,Jl. Cendrawasih Raya Blok B7/P  Bintaro Jaya Sawah Baru Ciputat,Kota tangerang Selatan,021 - 7455555,info@upj.ac.id,www.upj.ac.id,106,2597,96,2622,118,3083,110,2967,144,3570,163,3356,225,3767,123,3479
Universitas Tanri Abeng,MUMyQ0EzQzItNDhEMS00NDU5LTg4QTYtOUJFNEQzMEE3N0FG,Jl. Swadarma Raya No. 58  Ulujami-Pesanggarahan Jakarta Selatan Indonesia ,Kota Jakarta Selatan,+62 21 5890 8888,academic@tau.ac.id,www.tau.ac.id,87,801,91,849,86,950,70,978,84,1109,70,1109,88,1266,75,1223
Institut Bisnis Nusantara,NjdERTYxRTItMDY0RS00QkEyLUI2MTYtNkUwNDcxMTRBNjNF,Jalan DI Panjaitan no 24 ,Kec. Jatinegara,021-856-4932,,,48,3444,84,3162,62,3399,66,3334,67,2853,58,3078,59,2790,61,2101
Institut Kesenian Jakarta,MkU5MUQzOEUtODc2Mi00MTRFLTgyODMtM0MwN0IyODkxRkVD,Jalan Cikini Raya 73 Komplek Taman Ismail Marzuki,Kec. Menteng,(+62-21) 230-6127,rektorat@ikj.ac.id / akademik@ikj.ac.id,www@ikj.ac.id,205,2372,160,1971,213,2468,184,2707,222,2899,195,2671,195,2814,164,2418
Universitas Yarsi,REQ2RkMyM0YtN0I4OC00QzE5LTk4NDAtRjcyNjkzMTgwNDZE,"Menara YARSI, Kav.13 Jl. Letjend Suprapto No.1, RT.10/RW.5 Kelurahan Cempaka Putih Timur, Kecamatan Cempaka Putih, Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta 10510",Kota Jakarta Pusat,021-4206675,registrar@yarsi.ac.id,www.yarsi.ac.id,219,7221,394,5434,429,5881,436,5260,514,5463,509,4944,562,4986,516,4219
Institut Sains Dan Teknologi Nasional,MEY2QjA4MUItMUJGOS00NzgyLUFBM0YtMjQwMjE2QkM3RDU1,Jalan M Kahfi II Jagakarsa Bumi Srengseng Indah,Kota Jakarta Selatan,(021) 7270090,admin@istn.ac.id,www.istn.ac.id,258,4616,261,3835,257,3559,227,3226,238,3383,200,2994,212,3090,189,308
Universitas Muhammadiyah Tangerang,MjBCODcxQjktOTYxQi00NTFGLUE2QTItQ0U0NjI2RUVGQkZB,"JL. Perintis Kemerdekaan, No. I / 33, Cikokol, Tangerang",Kec. Tangerang,(021) 55730731,umtindonesia.2009@gmail.com / pddikti-baak@umt.ac.id,https://umt.ac.id,573,17283,518,16978,637,17051,546,16773,612,16873,558,16776,669,17635,509,5039
Universitas Pamulang,MkU2MjlCMTUtOTBCMC00MDAxLTk1RDAtMDI2QTMwQzhEODE0,"Jalan Suryakencana No 1 Pamulang, Kota Tangerang Selatan Provinsi Banten",Kota tangerang Selatan,(021) 7412566,admin@unpam.ac.id,www.unpam.ac.id,2026,75787,1997,68540,2064,74302,2080,69370,2137,72595,2112,68548,2344,77255,2301,1
Universitas Pelita Harapan,RDYxNjAwMjYtNDFBRC00QkZELTkxNEUtRjlCMzNEQjVBMzFB,"Gedung Veteran RI, Jalan Jenderal Sudirman Kav. 50",Kec. Setia Budi,021-2553 5163,registrar@uph.edu,www.uph.edu,1387,18635,1095,15817,1267,17152,1236,15026,1298,16064,1316,13724,1353,15564,1301,9263
Universitas Pembangunan Jaya,MzkyNTEzQTUtRjZCRi00OEM1LUEwRkUtNjI5NDcxMTA1MzZG,Jl. Cendrawasih Raya Blok B7/P  Bintaro Jaya Sawah Baru Ciputat,Kota tangerang Selatan,021 - 7455555,info@upj.ac.id,www.upj.ac.id,106,2597,96,2622,118,3083,110,2967,144,3570,163,3356,225,3767,123,3479
Universitas Swiss German,RURCNUY1NjEtRTUyNC00MTdGLUIxQUMtQ0EyMzkyQzA1OUJE,German Centre Bumi Serpong Damai,Kota Tangerang,021 2977 9596/9597,hrd@sgu.ac.id,www.sgu.ac.id,140,763,114,756,150,855,115,810,150,861,106,842,146,833,120,215
Universitas Raharja,QUMwMTMxRUQtQ0M5OS00M0EwLThDNjktMUUzNDQ1NjUzODI4,JL. Jendral Sudirman No.40 Modern Cikokol Tangerang,Kota Tangerang,0215529692/5529586,universitas@raharja.info,www.raharja.ac.id,162,2975,159,2734,153,2761,199,2423,370,2499,415,2220,471,2346,387,337
Universitas Teknologi Nusantara,MDYwQTc0MjAtMzY5RC00REFCLUJGRjUtM0M4RDNFQzgzQURG,Jl. Raya Pemda Pangkalan II No. 66,Kab. Bogor,(0251) 7508866,sekretariat.utn@gmail.com, www.universitasteknologinusantara.ac.id,29,1002,31,979,14,980,4,974,16,1046,18,1046,26,1016,18,1018
Universitas Pramita Indonesia,RDBBM0M3M0MtMjBDQy00OEY4LTg4RkQtOUNDODdFOUE2RkY0,Jalan Kampus Pramita Binong ,Kab. Tangerang,021 5980579, baak.unpri@gmail.com, unpri.ac..id,127,1874,100,1879,119,1967,105,1932,134,1930,117,1926,113,2808,106,1604
Universitas Surya,REFEOUNBNkMtQzg4Mi00ODZDLTk1MzEtREM4N0QwQ0FBQzM0,Scientia Buss Park jl Boulevard Gading Serpong Blok O/1 gedung I Tangerang,Kota Tangerang,(021) 22220180,biro.akademik@surya.ac.id,www.surya.ac.id,44,779,37,717,17,58,22,33,26,37,11,3,2,6,1,1
Universitas Matana,QTE4QkNFQjctN0M0Qi00MDNDLUI2RUEtMkM2NzZCNDFCMjVF,,Kab. Tangerang,,,,0,477,0,477,0,605,0,608,0,715,0,715,0,0,0,0
Universitas Bina Bangsa,OTI2NDZEQzAtNzgwMi00MDYwLTk2NzMtNTJENjZDRTBCRjZB,Jl. Raya Serang-Jakarta Km 03 (Pakupatan),Kec. Cipocok Jaya,(0254) 220158,rektorat1@binabangsa.ac.id,http://binabangsa.ac.id/,347,9053,370,9064,340,8864,362,8457,418,10003,501,9941,570,11226,570,10820
Universitas Buddhi Dharma,QkM2NjcyQzQtREI1QS00RUJFLThBRkEtRTAxOTk1M0M4QzlD,Jalan Imam Bonjol No 41 Karawaci Tangerang,Kec. Tangerang,021-5517853,rektorat@buddhidharma.ac.id ,buddhidharma.ac.id ,268,3148,263,2852,269,3205,242,2938,274,3065,269,2744,232,2923,232,2710
Universitas Banten,NzIxRUY4QUQtNjM1Ny00NTY0LUFGQUEtNDU1MDdFMjU0MTVE,,Kota Serang,0817188707,official@univbanten.ac.id,univbanten.ac.id,0,539,0,536,0,785,0,906,0,982,0,982,0,0,0,0
Universitas Serang Raya,QkE0MTZDQ0MtMkNBMi00RjAxLUE0QkEtODFEQzVEODRCNTg5,Jl. KH. Amin Jasuta No. 15 C Kaloran Brimob Serang ,Kec. Serang,0254 8235007,info@unsera.ac.id,unsera.ac.id,292,9415,253,8839,287,8856,267,7971,279,8132,268,7163,318,7147,276,1044
Universitas Katolik Parahyangan,Q0UzMTQ1MzYtODg5Mi00RjAwLUJBNUQtMTdCQTIyNjJFRkI4,Jalan Ciumbuleuit No 94 ,Kota Bandung,022-2032655 Pst. 110,rektorat@unpar.ac.id,www.unpar.ac.id,420,10913,405,10741,428,12538,423,11802,427,13250,376,5758,378,6116,495,219
Universitas Advent Indonesia,MjlFNzZDOTctQkY3NC00MjRDLTlFRTYtMjdEQ0RFODdGMTNB,"Jl Kolonel Masturi KM 3,5 Parongpong",Kab. Bandung Barat,022-2700161,vpaa@unai.edu,www.unai.edu,197,2081,192,1993,165,2011,189,1921,197,2017,172,1910,220,1963,260,1750
Universitas Islam Nusantara,MDIxNEY5MTktMDA1Qi00MDA1LThBRDQtMEMxRTE1QzU1NDZB,Jalan Soekarno-Hatta No. 530,Kota Bandung,(022)-7509656,info@uninus.ac.id,uninus.ac.id,339,8484,303,8286,354,9127,314,7687,403,8309,401,8171,435,8393,342,2429
Universitas Ibn Khaldun Bogor,QjczMkE2QTItNjg5QS00NDMzLTlEQUItOTZFRDY2QzlDRkE4,Jl KH Sholeh Iskandar KM 2 Kedung Badak Bogor,Kota Bogor,0251-8356884,mail@uika-bogor.ac.id,uika-bogor.ac.id,436,7306,413,6987,497,7962,454,7156,485,7881,477,7450,579,8792,545,5418
Universitas Kristen Maranatha,MTQzMjY1QjMtMkY0Ri00Q0EwLUEwQTUtOEQwNTM3QjQ0QjYy,Jl Prof Drg Suria Sumantri 65 ,Kota Bandung,022-2012186,admission@maranatha.edu,www.maranatha.edu,674,7403,661,6831,667,6822,669,6044,698,6867,648,6024,625,6638,599,6066
Universitas Jenderal Achmad Yani,QkQ4QjgyRTQtQzA5Ny00MDU0LUJFRDMtQ0ZFRDFGNzlFMDE0,Jl Terusan Jenderal Sudirman ,Kota Cimahi,(022) 6610223,akademik@unjani.ac.id,www.unjani.ac.id,448,16609,481,15931,532,17760,552,17150,957,19145,999,17567,1044,21909,954,4425
Universitas Gunadarma,Qzg4MkIyNDMtNzYwNS00MkQ2LTlBRkEtQTJDOEQ1NkQwOUVE,Jalan Margonda Raya 100 Pondok Cina,Kec. Beji,021-78881112,sektor@gunadarma.ac.id,www.gunadarma.ac.id,2497,42178,2280,39348,2587,42891,2748,39065,2790,43215,3038,38132,3272,41139,2911,705
Universitas Wiralodra,N0EzRkU3RkYtRUYwMi00QzRGLUJDNkUtRkE4Mzk2OTlGNDRG,Jalan Ir H Djuanda KM 3 Indramayu,Kec. Indramayu,0234275946,unwir.im@gmail.com,www.unwir.ac.id,240,3747,213,3448,243,3230,231,3091,264,3606,226,3466,249,3823,221,2490
Universitas Muhammadiyah Cirebon,NzcxQUY4MTItOTNFOC00NzcyLUIyNjUtQkUzNTEyQjAwQUQ0,Jalan Tuparev No 70 ,Kec. Kedawung,0231 209617,rektorat@umc.ac.id,www.umc.ac.id,354,6121,306,5651,359,6715,310,6317,373,7204,309,7022,368,8121,295,7917
Universitas Komputer Indonesia,QzZEOEVBRUUtODM0Qy00MkEzLUFFRDItMDA2NERFQzJFMkVB,Jalan Dipatiukur No 112-114 ,Kota Bandung,022-2503430 ,sektor@email.unikom.ac.id,www.unikom.ac.id,495,10362,497,9732,511,10260,478,9547,507,10061,498,9736,500,10583,482,10171
Universitas Kuningan,QjYxQUY4NzQtNjRGRC00NzhBLUI0RTUtODI4NDY2N0MwQTA1,Jalan Cut Nyak Dhien 36-A,Kab. Kuningan,0232-874824,rektorat@uniku.ac.id,www.uniku.ac.id,330,6751,288,6279,323,7105,270,6295,335,7308,293,6653,358,7426,319,6677
Universitas Muhammadiyah Sukabumi,NTFCMjg4QzItQTE2Mi00MTkwLUI1NjYtNDUwODlEQThCMUUy,Jalan R Syamsudin SH No 54 ,Kota Sukabumi,0266-218345,info@ummi.ac.id,www.ummi.ac.id,244,5251,220,5080,277,5569,243,4674,292,5082,244,4930,294,5680,269,5452
Universitas Subang,RUY2Qzg0NDktMkEyOC00MTNELTkxRTYtMTIzRDE3RDgyRDQx,Jalan RA Kartini KM 3 Subang,Kab. Subang,02604240927,info@unsub.ac.id,www.unsub.ac.id,139,6629,134,6246,168,7261,135,6983,174,7311,168,7231,261,5653,235,5257
Universitas Nasional Pasim,OEQ5NkM4NEUtRUIyNi00NDM2LTkwNkMtMzNCMjg2RDlENDlE,Jalan Terusan Pasteur No 167 ,Kota Bandung,022-6072803,informasi@pasim.ac.id,www.pasim.ac.id,115,2780,76,2784,134,2078,103,2057,115,1888,114,1770,158,2261,148,1886
Universitas Majalengka,MzBFN0Y4RDctMDRCMi00QzJFLUI3QzAtRjhFNzg4QzZCMzhE,Jalan KH Abdul Halim No 103 ,Kab. Majalengka,0233-281496,info@unma.ac.id,http://unma.ac.id,291,7497,244,6792,284,7047,254,5468,291,6219,278,4838,357,5306,293,4996
Sekolah Tinggi Teknologi Terpadu Nurul Fikri,NzE4RUQzMTctRUUyMi00REFBLUJGMTMtRjc5MzhGOTZBRTVB," Jl. Margonda Raya No. 522, Depok ",Kota Depok, 085716243174,administrasi@nurulfikri.com,www.nurulfikri.ac.id,34,744,42,707,36,1144,40,990,43,1672,40,1605,50,2236,55,2183
Universitas Telkom,ODYxRDlBNjQtOTQ5NS00Njg4LUE1MjgtODk5RkNDQTFDMUU4,"Jl. Telekomunikasi Terusan Buah Batu Bandung-40257, Jawa Barat, Indonesia",Kec. Dayeuhkolot,+62227566456,info@telkomuniversity.ac.id,http://www.telkomuniversity.ac.id,785,27784,870,25311,968,29777,1007,27115,1218,31567,1259,30500,1372,33213,1440,31343
Universitas Muhammadiyah Bandung,QjFFMkMxQkEtN0RBOS00RDk0LUFEOEQtMDNBNTU2ODk4NDlF,Jl. Palasari No.9A,Kota Bandung,022-6374-5992-4992,unmuhbandung@gmail.com,www.umbandung.ac.id,110,1843,91,1844,136,3615,119,3616,261,5022,221,4766,269,6285,225,132
Universitas Muhammadiyah Tasikmalaya,NUJGOThERkQtMDU0RS00QzE5LTlBNjQtMDEyQjQxQzY5NzE4,Jalan Tamansari Gobras,Kota Tasikmalaya,0265-2350982, kotaksurat@umtas.ac.id,www.umtas.ac.id,179,2062,176,1826,203,2213,199,2029,202,2581,184,2320,211,2791,199,2651
Universitas Pelita Bangsa,MzYxRkE5NDMtNUJEMi00RjhFLTlBNjQtMkQ4QkQzNkQzQUNB,,Kab. Bekasi,"02128518181,82,83,84",universitas@pelitabangsa.ac.id,www.pelitabangsa.ac.id,250,8816,271,8756,325,11208,312,10768,384,12434,362,12232,404,12462,407,90
Institut Teknologi Petroleum Balongan,ODQ5RDQ4MjQtRTZFRi00NTIyLTk2ODktNURCMkRCODFEOTA1,,Kab. Indramayu,,,,0,377,0,377,0,639,0,639,0,857,0,857,62,1080,38,805
Institut Bisnis Dan Informatika Kesatuan,MTNFODVDM0YtNUQ4Qy00Mjg0LTkxOTAtMDMwMTNGQUUzM0Yz,"Jl. Rangga Gading No.1, Gudang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat ",Kota Bogor,0251 8381112,info@ibik.ac.id,http://www.ibik.ac.id,164,4356,155,3942,199,4297,179,3555,176,3957,153,3106,179,3712,161,5
Universitas Jenderal Achmad Yani Yogyakarta,NzkwNDAxMzAtQUFERC00M0Y0LUFGQUYtN0NBQzQ2MUFBMkZD,,Kab. Sleman, 0274552489, biroaa.unjaya@gmail.com,www.unjaya.ac.id,189,3157,223,2199,227,2632,145,2648,179,3160,196,3144,215,3790,199,1500
Universitas Atma Jaya Yogyakarta,QjU5MEY4OEYtMkUzRi00Q0NFLTlDNTktQ0NEN0MzMzk5QjA3,Jalan Babarsari No 44 ,Kec. Depok,0274-487711,kaa@uajy.ac.id,www.uajy.ac.id,378,11864,389,10642,472,11482,442,10472,440,11434,455,10443,491,11387,413,10040
Universitas Ahmad Dahlan,RUY5ODMwNTItNDhBMC00QUZELUFBNEMtRkMxNDJCNTNGMEZG,Jalan Kapas No 9 Semaki ,Kec. Umbulharjo,"0274-563515, 511830",info@uad.ac.id,uad.ac.id,1093,31659,957,28665,1081,33775,1055,31183,1214,35453,1245,28163,1472,32537,1374,27845
Institut Sains Dan Teknologi Akprind,RTI0RkVCNTQtODk4Mi00N0UzLTlBMEItMDVDN0QwMTE4RkE0,Jalan Kalisahak No 28 Komplek Balapan,Kota Yogyakarta,0274-563029,info@akprind.ac.id,www.akprind.ac.id,184,3927,184,3072,190,2898,185,2534,196,2696,184,2214,191,2325,184,1936
Universitas Kristen Duta Wacana,Mzg1RUJDREEtQjg4OS00MjY5LUI2QzYtREMwOTY3QzI5NkI4,Jalan Dr Wahidin 5-19 ,Kec. Gondokusuman,0274563929,humas@staff.ukdw.ac.id,www.ukdw.ac.id,217,6125,222,5565,317,5289,319,4760,278,5124,296,4602,267,4973,259,2255
Universitas Islam Indonesia,OTQyNzMzMDUtODM0Qi00ODZFLUE3OTYtNzhDRThDOEZBRjJE,"Jalan Kaliurang Km 14,5 Sleman",Kec. Ngemplak,0274-898444,rektorat@uii.ac.id,www.uii.ac.id,859,35088,987,27463,1151,30232,1044,28655,1327,31901,1215,27686,1218,31710,1235,27367
Universitas Mercu Buana Yogyakarta,NDZBQzQ5QjQtNjkwRi00NDIzLThDNEUtMUQ1OTRCRERGMjNF,Kampus I : Jalan Wates KM 10 Yogyakarta 55753 Kampus II : Jalan Jembatan Merah 8,Kec. Sedayu,0274-6498212,humas@mercubuana-yogya.ac.id,www.mercubuana-yogya.ac.id,197,10383,171,10085,196,12421,216,11202,275,12402,284,11438,313,12518,255,11578
