name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
Akademi Kebidanan Adhira Mustika Gayo,RDY5OTBGNDQtOENFMy00NDY4LUE0OTItOTUzQzg3QkE5QkQ4,Takengon ,Kab. Aceh Tengah,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,129,0,121,0,159,0,159,0,175,0,175,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Kebidanan Bunga Bangsa Idi,ODUzOEI2ODItNDg3OC00NzM3LTlGRjYtMThBNjEzOERFRkQ2,Idi ,Kab. Aceh Timur,,,,0,0,0,63,0,13,0,54,0,0,0,0,0,0,0,0
,,,,,,,0,685,0,774,0,854,0,0,0,0,0,0,0,0,0,0
Universitas Almuslim,RDJGRkQyQjctRjU3NS00QTFELUI1NEQtNzlERkREMzNEMENF,Jl Tengku Abdurrahman No 37 Matangglumpangdua  Bireuen Provinsi Aceh,Kec. Peusangan,0644-41126,almuslim.universitas@yahoo.co.id,www.umuslim.ac.id,254,5675,254,5673,313,5939,274,5637,368,6765,256,5547,372,5666,403,6605
Universitas Islam Kebangsaan Indonesia,RjRBNjhEOTYtMUYzOC00OTc4LUJBOTEtOTgxQjBBQTM2NUQy,"Jl. Banda Aceh, Blang Bladeh",Kab. Bireuen,0644-22207,pusikom.uniki@gmail.com,http://uniki.ac.id/,39,2948,66,2511,116,3266,110,3277,163,4140,179,4041,184,4697,186,579
Akademi Kebidanan Munawarrah Bireuen,RDM4M0E4MjMtNEUyQy00MkI1LUFCQkUtRDk3RDY0NTgwQTA5,Lampeuneurut ,Kab. Bireuen,064421647,munawarah@akbid.ac.id,http://munawarah.akbid.ac.id,7,76,7,76,7,61,7,54,7,56,7,49,6,51,7,51
,,,,,,,0,134,0,134,0,143,0,139,0,128,0,126,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Administrasi Pelita Nusantara,RUExRTc2OEMtRDk0RC00QzVDLUJERTgtQzNENjE2ODA2RDM5,Jalan Nasional Simpang Peut - Jeuram KM 6 Desa Cot Kuta Kecamatan Suka Makmue Ka,Kec. Suka Makmue,081362828604,stiapen@gmail.com,stiapen.ac.id,0,793,0,791,0,724,0,684,0,1230,0,0,0,328,0,0
Universitas Jabal Ghafur,MkVCOTM4MjYtNUE0Mi00MUFBLTgwNkYtNTExOTJFQzM2NEI1,Jalan Glegapui ,Kec. Indrajaya,081-2525-32958,unigha@unigha.ac.id,www.unigha.ac.id,273,3747,260,3490,238,3122,218,2898,241,2667,278,2122,282,5310,313,1550
STIKES Medika Nurul Islam,NEQ4NkRDNTQtQUNCQi00ODg3LThFRUItNDVCNTdGM0VCRUM0,Pidie ,Kab. Pidie,(0653) 7829637,stikesmnisigli@gmail.com,www.stikesmni.ac.id,21,654,19,613,26,670,35,667,5,839,13,780,42,1004,41,804
Akademi Kebidanan Darul Husada,QjQ4NzY4RjUtODJEMS00NzM2LUE1MDYtQzc2NTIzOEJFNjY4,Jln. Lingkar No.3 ( Samping Kantor Polisi Militer Sub Detasemen IM/1-3 ) Sigli,Kab. Pidie,0653 - 22550,darulhusada@yahoo.co.id,www.darulhusada.ac.id,12,202,10,200,8,135,7,129,12,81,10,80,8,46,7,24
AMIK Jabal Ghafur,NzI5RjkwQUEtQjZCQy00Q0QwLUI1MTYtREY3NkNDODgzNzQx,Komplek Yayasan Pembangunan Kampus Jabal Ghafur Glegapui Sigli,Kab. Pidie,065322631,amikjgsigli@gmail.com,http://www.amiga.ac.id          ,0,1322,1,1320,0,1320,1,1320,0,341,0,414,4,211,5,7
,,,,,,,0,65,0,60,0,58,0,58,0,0,0,0,0,0,0,0
Akademi Kebidanan Pidie Jaya,NjMwNjMwRjYtNUUxNC00MkUyLUI5MDQtRDdDNDFCRjg5OTRC,Sigli ,Kab. Pidie Jaya, , akbidpidiejaya@gmail.com,www.akbidpidiejaya.com,0,0,0,72,0,0,0,72,0,0,0,0,0,0,0,0
Universitas Muhammadiyah Aceh,QjU3MkZFQTctNUYwMi00NTU0LUFGODYtNkU0RjQ5NUUwNUU0,"Jalan Muhammadiyah No 91 Desa Batoh, Kecamatan Lueng Bata",Kota Banda Aceh,0651-31583,rektorat@unmuha.ac.id,www. unmuha.ac.id,258,6858,238,6349,257,6711,246,6138,275,6160,260,5763,292,5626,272,4747
Universitas Iskandar Muda,OTFENEYzOTktQzU5RS00REZELUJBREQtOTM5NTc4MEE3NzNE,"Jalan Kampus Unida, No 15, Surien,  Meuraxa",Kota Banda Aceh,0651 42098,info@unida-aceh.ac.id,www.unida-aceh.ac.id,146,3330,126,2796,131,2926,135,2217,153,2565,156,2119,169,2259,153,2122
Universitas Serambi Mekkah,MDZGRjQ5RDctMDQ5Qi00MDcyLTlGNjMtM0VEQkE1MEZCNjYy,Jalan Tengku Imum Lueng Bata Desa Bathoh,Kota Banda Aceh,0651-26160,akademik@serambimekkah.ac.id,www.serambimekkah.ac.id,362,6639,285,5248,330,4895,285,3281,349,3098,303,2793,406,3921,350,3594
Politeknik Aceh,NUUzQ0MwMzYtM0FBOC00Mjc2LUFCOTAtRDg4M0JCQjVCNTVB,"Jl. Politeknik Aceh, Ds. Pango Raya, Ulee Kareng ",Kota Banda Aceh,+62 651 3614452,info@politeknikaceh.ac.id,www.politeknikaceh.ac.id,11,851,59,465,58,516,59,473,68,536,59,526,52,484,53,447
Politeknik Kutaraja,MDRFNDM3OTEtNzMyOC00M0YyLUIwMDktNTU5Q0M5RjU2MjI0,,Kota Banda Aceh,0811-6808-177,direktorat@poltekkutaraja.ac.id,www.poltekkutaraja.ac.id,30,121,29,121,42,184,36,185,44,239,32,242,44,246,30,239
Universitas Bina Bangsa Getsempena,NUIyMEVEQkItQUEzRC00RDgwLTgyNEEtQ0IzMDE1MjBCMDk2,,Kota Banda Aceh,082321211883,info@bbg.ac.id,www.bbg.ac.id,0,1516,0,1525,0,2260,139,2460,217,3060,127,2649,225,4395,163,3021
,,,,,,,7,2016,1,1867,0,1864,0,1864,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Ekonomi Sabang,NTI1QjQ5QkQtMUFCNC00RTU0LUE0QkItNEQxOTM1MkEwRkM3,Jalan Peurada Utama Po Box 166 ,Kota Banda Aceh,065153051,info@stiesabang.ac.id,www.stiesabang.ac.id,41,1490,36,1438,42,1629,37,1410,40,1394,35,1521,38,1715,32,1487
Sekolah Tinggi Ilmu Ekonomi YPHB,QjM1RjIyMDktQzExQS00OEQ1LUI3ODQtNDFEQjc2RDk4MDM1,Jalan Tengku Hasan Dek No 230 Jambo Tape,Kota Banda Aceh,0651-637099, stieyphbaceh@yahoo.co.id, akademimaritimaceh.com/,6,292,7,292,7,344,7,343,9,386,8,197,6,1098,8,200
Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa,RTgyRTk2RkMtMTg5NS00RDJBLTkwRDItMjVGQTM0ODUyMUZE,,Kab. Jember,0331-5449167,stikes.harapanbangsa@yahoo.com,http://www.stikesharapanbangsajember.ac.id,12,166,13,165,16,192,18,186,16,198,16,196,23,183,23,171
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universitas Ubudiyah Indonesia,RERGQTNCNDAtNUY1Ni00MTdFLUFCMTQtNEU2RDNFMDRBMjgw,"JL. Alue Naga Desa Tibang, Kec. Syiah Kuala, Kota Banda Aceh.",Kota Banda Aceh,0651-7555565,info@uui.ac.id,www.uui.ac.id,136,1375,111,1268,142,1547,118,1438,94,1722,98,1577,145,2028,126,1670
Sekolah Tinggi Ilmu Administrasi Iskandar Thani,REY3REVBREItQjE0OS00MDNELUIwNEMtN0NGN0RCMTkxOTIz,"Jl. Alue Naga, Gampong Tibang",Kota Banda Aceh,0811685526,stia_iskandarthani@yahoo.com,http://stia-iskandarthani.ac.id/,21,364,13,359,13,297,22,263,15,256,14,165,16,191,16,193
Sekolah Tinggi Ilmu Kehutanan Pante Kulu,ODREN0ZGMDMtQzFFNi00Rjc1LUEwMDYtMEE2NEZEQzA5MUUy,Jalan Teuku Nyak Arief Darussalam,Kota Banda Aceh,0651 54309,stikptk@gmail.com,https://stikehutananpantekulu.ac.id/,11,915,13,915,13,932,14,155,12,117,14,107,16,112,15,110
,,,,,,,0,395,0,395,0,421,0,406,0,423,0,50,0,3,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Kebidanan Yayasan Pendidikan Mona,NUE3NzA0QkYtQURFMi00OUQzLUI0OTctMkU0MDM3QzI2Q0I4,Jl Tengku Abdurrahman Meunasah Lr Mona No 1 Emperum kecamatan Jaya Baru,Kota Banda Aceh,085372452222, akbidmona98@yahoo.com, http://akbidmona.ac.id/,4,17,5,17,4,13,5,13,0,3,0,0,0,0,0,0
Akademi Kebidanan Saleha,NUJGRkYzMkQtNUUzRS00N0Q5LTk0NEYtNTE5OTVBQkY5MjIy,"Jalan Krueng Jambo Ayee, Geuceu Komplek.",Kota Banda Aceh,(0651) 6302072,info@akbidsaleha.ac.id,https://akbidsaleha.ac.id,8,80,8,80,8,103,8,99,7,99,7,99,8,93,9,93
Akademi Kebidanan Medica Bakti Persada,Qzc0MTBENzctOEEyMC00MUE3LTkyMjktRUVCNzdDNjc2QUJB,Jl. T. Nyak Adam Kamil No. 116/121,Simpang Kiri,062770004105, akbidmedicabaktipersada@gmail.com, ,5,81,7,81,4,58,3,67,7,61,7,61,7,89,6,88
Akademi Keperawatan Teungku Fakinah Banda Aceh,QUI0QzJCMTktMkVEQi00Mjc1LUE4QUMtMDlFMjhEMDdCOUFG,Jalan Jenderal Sudirman No 27-29 Banda Aceh,Kota Banda Aceh,"0651-46245, 46243",akper_fakinah@yahoo.com ; akperfakinah@gmail.com, http://www.akpertgkfakinah.ac.id,9,111,8,109,7,201,8,198,5,196,9,196,11,218,10,218
Akademi Keperawatan Kesdam Iskandar Muda Banda Aceh,QjkzOUI3ODctOENEQS00NjM3LUE0OTUtQjdFMkVGRjgzODlF, JL MAYJEN T.HAMZAH BENDAHARA LR BAHAGIA   BANDA ACEH  ,Kota Banda Aceh, 0651 26583,akperkesdam_im@yahoo.com,www.akimba.ac.id,16,670,14,669,14,743,13,739,13,669,18,651,20,712,25,708
Akademi Sekretari Manajemen Nusantara,OEZGOTZGOEYtMDE0Mi00OUFFLUFERDMtMUQ2QzE5MDRGNDMz,Jalan T. Nyak Arief No. 333 Jeulingke Banda Aceh,Kota Banda Aceh,0651-7557400,muna.janeeta@gmail.com,www.asm-nusantara.ac.id,1,213,1,213,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,513,0,500,0,499,0,353,0,297,0,282,0,0,0,0
Akademi Keuangan Perbankan Nusantara,NjAyRjMwNjQtRjU1OS00OEFBLUI2RjItMDM2RTRBODFCQTdB,Jl Medan Banda Aceh IDI KABUPATEN ACEH TIMUR,Kab. Aceh Timur,06,akubank.nusantara@gmail.com,www.akubank-nusantara.ac.id,8,427,6,427,8,448,8,448,8,376,8,282,9,281,8,22
Akademi Maritim Aceh Darussalam,NzFCQjZFNkEtM0EwRC00OEZDLTg5MEYtNzNGODcwMTBEQUEz,Jl Tengku Abdul Azis No 12 Merduati,Kec. Kuta Raja,0651-637745, maritimaceh@yahoo.co .id, maritimaceh.ac.id,4,193,6,193,6,211,6,198,10,250,9,228,9,569,9,0
Akademi Maritim Nusantara Malahayati,MzlBRTU4NkYtMTg5My00REI4LTkzMDItRDQzMjM1NjRDQkVF,Jl Laksamana Malahayati No 17 Km 5 ,Kota Banda Aceh,0651-7557400,muna.janeeta@gmail.com,www.belumada.ac.id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Farmasi YPPM Mandiri,RjU4QkM1QzQtOEQ2QS00RDEyLUIwNUUtNzNCRjBEQTg0Q0NG,Jalan T. Nyak Arief No. 333 C/D Jeulingke,Kota Banda Aceh,+626516303532,akfar.mandiri@gmail.com,http://akfar-mandiri.ac.id,9,93,5,93,9,117,1,81,8,126,8,102,10,137,8,132
Akademi Fisioterapi Harapan Bangsa Banda Aceh,MTQyQUM3MTUtMUJGQS00MTQ2LTlERDQtNjcyQ0RERDYwN0Yw,Jalan Jenderal Sudirman 27-29 Komp Rs Tengku Fakinah,Kec. Baiturrahman,(0651) 637704, akfis.yhbdaceh@gmail.com, http://fisioterapiyhbdaceh.ac.id,7,40,5,40,9,49,6,49,7,39,7,39,7,35,6,35
,,,,,,,0,42,0,39,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Perikanan Dan Ilmu Kelautan,OTdDN0JGNjgtQzEzMC00RkZFLTk1NDEtNUY1OEQxNkQ1RTcy,Jl Tgk Chik Ditiro No 4-6 Peuniti,Kab. Aceh Besar,0651-27541 7406108,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Manajemen Pase,ODczRDc2NjQtQkM5RC00N0RBLTk3NDctQkU2OTFEQUUwQTRC,Jalan Kebun Baru No 05 A Paya Bujok Seuleumak,Kota Langsa,0641-20885,stimpase055.gmail.com,https//stimpaselangsa.ic.id/,13,430,14,376,12,388,11,361,11,346,11,339,13,268,10,115
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Kebidanan Harapan Ibu Langsa,M0RGQzEzQUItQTQ4Ny00MDlFLUJDRUYtMTY1QTUwQkYyQzcy,Jl Lilawangsa Geudubang Jawa ,Kota Langsa,085358646919,harapanibu@akbid.ac.id,http://harapanibu.akbid.ac.id/,6,70,7,63,7,57,7,57,5,43,5,43,5,42,2,20
STIKES Muhammadiyah Lhokseumawe,QzhCNzdCRjYtNDhBQS00NTRCLThDQTgtMzEwN0IzNTQ1Qjc2,Jl Darussalam No 47 ,Kota Lhokseumawe,"0645-42580, 43308",stikes.muhammadiyah.lsm@gmail.com,http://www.stikeslhokseumawe.ac.id,44,698,43,694,41,635,23,631,85,788,86,778,80,914,77,38
,,,,,,,0,442,0,369,0,387,0,386,0,477,0,461,0,0,0,0
,,,,,,,0,335,0,300,0,389,0,331,0,384,0,421,0,0,0,0
STIKES Darussalam Lhokseumawe,Rjc0OUNBQjYtQTE3NC00N0FFLTk5MzUtRTk1QjM4MTdBRkM0,Jalan Sultan Iskandar Muda No. 24F Lhokseumawe ,Kota Lhokseumawe,0645-48082,info@sdl.ac.id,sdl.ac.id,0,2282,13,2052,0,2546,18,1152,11,1473,12,1170,28,1562,28,373
Sekolah Tinggi Ilmu Ekonomi Lhokseumawe,REM3QTc1MEUtNDZEQi00NDc0LTlBREQtMzczNzIzMTk0NDk2,Jalan Merdek Barat No. I B Kuta Blang Lhokseumawe,Kota Lhokseumawe,(0645) 6500877,stielhokseumawe@yahoo.com,https://stie-lhokseumawe.ac.id,25,350,25,300,24,296,23,240,26,270,22,242,25,265,24,151
,,,,,,,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Administrasi Nasional,NkY1Qzg5OTMtMDhEMS00RjMyLTgzRUYtQkZGQ0JBMjU0MTNG,Jalan Merdeka Barat No 01 Kuta Blang Lhokseumawe,Kec. Banda Sakti,(0645) 42208,stianasional.lhokseumawe@gmail.com / stia.nasional@yahoo.com,www.stianasional.ac.id,14,518,13,478,15,464,14,452,16,422,15,415,12,383,12,344
Akademi Kebidanan Darussalam,QzU2NTY4NTQtNzc0Qy00RjIzLTk4MUMtQ0JDQjA1QUEzOTg5,Jalan Iskandar Muda No 24 ,Kota Lhokseumawe,0811-6704-250, akbid.darussalam@gmail.com, akbiddarussalam.ac.id,1,116,1,111,2,86,9,73,10,62,8,61,8,71,8,72
Akademi Keperawatan Kesdam Iskandar Muda Lhokseumawe,NDdEN0I1REQtMkJCQy00MjhBLUE3N0EtMzM4OUJBMzlGMkU3, Jl. Alkalali No.9 Hagu Selatan Lhokseumawe,Kota Lhokseumawe,082362141977,info@akimal.ac.id,www.akimal.ac.id,11,190,10,189,13,223,13,223,12,242,11,242,12,313,16,313
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Keperawatan Ibnu Sina Kota Sabang,MEYyNDEwQUEtMzg2OS00OEFCLUFCNTItOTdFMDNEOTQ2Qzg3,Sabang ,Kota Sabang, 0652 3324111,akperibnusinasabang@gmail.com,https://akperibnusinasabang.ac.id,10,61,8,61,9,62,10,62,8,67,10,65,8,88,10,20
Universitas Al Washliyah,QTZFQTAzNEMtMEM3Ni00OTVGLThFODktQTJFOTUzQzlCQUNE,Jalan H Adam Malik Lingkar By Pass Rantauprapat,Kec. Rantau Utara,0624-351765,univa.lbatu2018@gmail.com,univalabuhanbatu.ac.id.,80,2854,65,2845,88,2851,74,2747,92,3126,83,2651,86,5182,77,1591
Universitas Amir Hamzah,ODg2MUE2MEYtMTZFRS00MjdELThEQTgtQTc2OEIxMkFFQUJE,Jalan Pancing Pasar V Barat Medan Estate,Kab. Deli Serdang,061 6614160,unham@unhamzah.ac.id,www.unhamzah.ac.id,74,1942,34,1933,70,2042,83,1957,89,2195,95,1796,92,1812,95,884
Universitas Asahan,RUNBQjk5M0YtRTA2Mi00RkRGLTk0OUYtMDZGNTEwQzVENjdB,Jalan Jenderal Ahmad Yani Asahan,Kec. Kisaran Timur,--,admin@una.ac.id,una.ac.id,166,5044,169,5038,171,5782,174,5383,183,4876,177,4709,201,5621,187,2790
Universitas Audi Indonesia,MjgwQzRFODctMjZENC00ODZELTk1ODctNjc3RTk4RkRCNEI4," Jl. Bunga N'Cole Raya No.83, Kemenangan Tani",Kec. Medan Tuntungan,(061) 8361656,univ.audiindonesia@gmail.com,universitasaudi.ac.id,20,461,75,524,79,928,60,1240,73,1688,42,574,21,2626,40,1001
Universitas Budi Darma,NjBEQjQyMEMtQkI3Qy00MkUzLThBNjgtMjg2REI2QURCOEEz,,Kota Medan,061-7875998,info@univ-bd.ac.id,univ-bd.ac.id,0,2380,0,2380,97,2880,117,2842,116,1710,114,1314,145,3026,98,0
Universitas Darma Agung,RDY2ODM5QTEtNkExNS00RDg1LTlFNkUtOUM4QzAxREUwQUI2,Jalan Dr Td Pardede No 21 ,Kec. Medan Petisah,"(061)4535432,4535432",darmaagung.uda21@darmaagung.ac.id,darmaagung.ac.id,178,5980,181,5575,212,4763,222,4519,226,3821,201,3629,242,3826,253,74
Universitas Deli Sumatera,MTE1QUIyQUEtNzkzMy00NUNFLUJGMTMtQjMxNDRERUU3NUE1,,Kota Medan,061 42788141,delisumatera@unds.ac.id,www.unds.ac.id,0,22,0,43,0,69,0,69,36,177,37,179,61,300,58,308
Universitas Dharmawangsa,QzQ1MDUyQUMtRUU2Ri00NTVELTg4ODItODA4REUwMEJGMDFG,Jalan K L Yos Sudarso No 224 ,Kec. Medan Barat,061-661-3783,univ@dharmawangsa.ac.id,www.dharmawangsa.ac.id,203,3567,195,3179,229,3679,191,3314,243,3584,204,2818,237,3698,215,3620
Universitas Efarina,MUE3MEQ3RkQtMERCOC00Qzk3LUEyN0MtMzY0MjNBMzcxRjdC,Jl. Sutomo Griya Hapoltakan Pematang Raya - Simalungun Kav 1-10 ,Kec. Raya,"(0622) 29844, 331578",universitasefarina@gmail.com,www.unefa.ac.id,123,2853,109,2191,130,1995,107,1956,128,1970,108,1093,126,1781,105,194
Universitas Graha Nusantara,NkFEOTY2REYtRUEyQS00MjJDLTgyRDgtNUZCRDkyM0Q3Q0Ew,"Jln. Sutan Soripada Mulia, No. 17",Kec. Padang Sidimpuan Utara,0634-25292,ugn_psp@yahoo.com, ugn.ac.id,224,5201,177,5065,253,5588,197,4753,274,5287,207,3155,286,3211,205,1
Universitas HKBP Nommensen,OERDNUZGMjctQTFCQy00NjAxLUI4NTctRUYzNDY4QjIwQ0Q2,Jalan Dr Sutomo No 4-A ,Kota Medan,061-4522922,uhn@uhn.ac.id,www.uhn.ac.id,441,14059,364,13618,394,13560,402,12773,445,13173,455,12582,475,13856,433,9681
Universitas HKBP Nommensen Pematangsiantar,NDY2RDgwQTMtODBCNC00Njc4LTlERjQtOUIyRDY1OTVEREY3,Jl. Sangnaualuh no 4. Pematangsiantar Kel. Siopat Suhu,Kec. Siantar Timur,06227251800,info@uhnp.ac.id,www.uhnp.ac.id,138,1996,174,1992,148,2654,148,2654,166,3321,155,3322,193,4087,190,956
Universitas Islam Sumatera Utara,RThFMzIxMzUtNDUwRS00NjQ3LUIxOUItODIwMTk1QzYyQjg1,Jl. Karya Bakti No. 34 P. Masyhur Medan Johor   Jl. SM. Raja Teladan Barat Medan,Kota Medan,061-7869790,infokom@uisu.ac.id,https://www.uisu.ac.id/,515,7813,477,7293,499,8070,508,7728,595,8965,563,8370,594,9151,602,6964
Universitas Katolik Santo Thomas,QzVBQjI5ODctQzNCNy00Q0FBLUEwNkItQ0IxNjYyOEFGMEIx,Jalan Setia Budi Nomor 479 F Tanjung Sari,Kec. Medan Selayang,061 8210161,info@ust.ac.id,www.ust.ac.id,252,4765,224,4612,256,5371,244,5351,285,6206,279,6163,299,6172,275,5800
Universitas Medan Area,ODc0NDgxQTMtMzk2Ny00ODE0LTg3MjAtOEIxMkJFQUM3NTFF,1. Jalan Kolam No. 1 Medan Estate - Medan (Kampus Utama / I) 2. Jalan Setia Budi,Kec. Percut Sei Tuan,061-7366878,univ_medanarea@uma.ac.id,www.uma.ac.id,350,15193,344,12531,360,12774,353,12440,477,13139,433,12214,502,13261,482,11943
Universitas Methodist Indonesia,ODhFMzgzRTMtOUJBMS00MEEyLTlENUItNDgwOEMyNjY5N0Q5,Jalan Hang Tuah No 8 ,Kec. Medan Polonia,0614536465,info@methodist.ac.id,www.methodist.ac.id,198,6088,192,5044,226,5632,267,5065,300,5690,261,4410,297,5616,268,4330
